Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0594601331904497,0.00158409750762682,0.00395247686551611,0,0,0,0.057306099157975,2.52802037614679E-05,1.2355516608083E-06,1.25311435718985E-06,3.34472450646964E-05,4.62252074634813E-07,5.18963701443452E-05,0,0,0,0,0,0,package://ap001/meshes_l/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ap001/meshes_l/base_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror00-手掌-总装.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-小指组件-AY_丝杆最大行程.STEP.step-1/Mirror小指组件-AY_正常.STEP.step-1/Mirror1.0302.0000020 四指底座.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-无名指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_无名指.STEP.step-1/Mirror1.0302.0000020 四指底座.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/Mirror1.0302.0000020 四指底座.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0302.0000020 四指底座.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror1.0302.0000016 手掌下壳.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror1.0302.0000047 手腕连接件.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror1.0405.0000002 绝缘片.STEP.step-1;Mirror_0006_ASM_R-241127(2)_R-241127.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror1.0401.0000027 背板.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror右手大拇指组件-AY_张开.STEP.step-1/Mirror0013_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1/Mirror__10002_0013_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror右手大拇指组件-AY_张开.STEP.step-1/Mirror0013_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1/Mirror__10003_0013_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1,base_joint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
if_slider_link,-0.0138319629379242,0.00115453442140837,1.18389258876601E-06,0,0,0,0.000489109991372547,4.60383499715011E-09,2.81250183507648E-09,-3.05105219842191E-12,3.8230523781062E-08,7.1718797224353E-11,3.92695205779482E-08,0,0,0,0,0,0,package://ap001/meshes_l/if_slider_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/if_slider_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程-3.STEP.step-1/Mirror0004__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1,if_slider_joint,if_slider_axis,if_slider_link,prismatic,-0.0743953007431647,0.0266525875167351,-0.00605639056093396,0,0,0,base_link,-0.996545479860364,0.0830488198073143,0,0,0,0,0.019,,,,,,,,
if_slider_abpart_link,-0.0107924549572,-0.00265321760104797,-0.000308367168185661,0,0,0,0.000420491709550028,1.79108347320723E-09,2.66237873552733E-10,-7.33605425165687E-10,5.74483120882434E-09,1.00326814076288E-10,6.20446686479774E-09,0,0,0,0,0,0,package://ap001/meshes_l/if_slider_abpart_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/if_slider_abpart_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程-3.STEP.step-1/Mirror_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP3.step-1/Mirror_6-R-231011--726080001__20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程-3.STEP.step-1/Mirror_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP3.step-1/Mirror电机连杆转轴.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程-3.STEP.step-1/Mirror_STEP0001__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程-3.STEP.step-1/Mirror0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP3.step-1/Mirror花键轴.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程-3.STEP.step-1/Mirror0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP3.step-1/Mirror四指连接件A.STEP.step-1,if_slider_abpart_joint,if_slider_abpart_axis,if_slider_abpart_link,continuous,-0.0286101794366837,0.00588391238999358,-0.000304765437522917,0,0,0,if_slider_link,0.0827338081179653,0.992755080232688,-0.087134767265932,,,,,,,,,,,,
if_proximal_link,-0.018048500349933,0.00589123698941033,0.00162500950054231,0,0,0,0.00193520087602364,1.04819821126355E-07,-1.16703372378676E-08,-1.17164305972244E-08,2.31513586274902E-07,-6.36676059403052E-10,2.36394947756143E-07,0,0,0,0,0,0,package://ap001/meshes_l/if_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/if_proximal_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0302.0000021 食指中段.STEP.step-1,if_proxiaml_joint,if_proximal_axis,if_proximal_link,continuous,-0.112402647327573,0.0377702832956948,0.00188300431715999,3.14159265358979,0,0,base_link,0.0827338081179618,-0.992755080232691,0.0871347672659119,,,,,,,,,,,,
if_distal_link,-0.0186856930764524,-0.00656465946728199,-0.00499978194108679,0,0,0,0.00368580889662504,1.15557446383638E-07,2.38559940979627E-08,-1.56708161866733E-07,5.69950130109833E-07,9.93659055476459E-09,5.39337158011395E-07,0,0,0,0,0,0,package://ap001/meshes_l/if_distal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/if_distal_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/MirrorAY-中指指尖装配体-20250926.STEP2.step-1/Mirror1.0401.0000223 中指后盖-0.8均匀壁厚-20251009.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/MirrorAY-中指指尖装配体-20250926.STEP2.step-1/Mirror1.0401.0000223 中指后盖-0.6壁厚加过坡-20250930.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/MirrorAY-中指指尖装配体-20250926.STEP2.step-1/Mirror1.0302.0000135 中指底座-20250929.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0301.0000034 销轴.STEP.step-2;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0306.0000006 C型卡簧.STEP.step-4;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0301.0000014 轴套.STEP.step-10;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0301.0000035 销轴.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0306.0000006 C型卡簧.STEP.step-2;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/MirrorAY-中指指尖装配体-20250926.STEP2.step-1/Mirror00_AY_MF_SILICON_ASM_1-20250818.STEP2.step-1/Mirror0_AY_MF_SILICON_ASM_1-20250818.STEP2.step-1/Mirror0_AY_MF_SILICON02_1-20250818.STEP.step-1,if_distal_joint,if_distal_axis,if_distal_link,continuous,-0.0356862139016609,-0.00314451951825894,0.00264727869152648,3.14159265358979,0,0,if_proximal_link,0.0827338081179672,0.992755080232689,-0.0871347672659217,,,,,,,,,,,,
if_connecting_link,-0.0230075691434402,0.00557584657874147,0.00274171213987435,0,0,0,0.000200341201168595,5.08501796822084E-09,-9.24050156786622E-10,1.00007977652629E-08,2.66632993605205E-08,3.92736100379471E-10,2.16847259198394E-08,0,0,0,0,0,0,package://ap001/meshes_l/if_connecting_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/if_connecting_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0306.0000009 食指连杆.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-食指组件-AY_丝杆最大行程.STEP.step-1/Mirror食指无名指组件-AY_食指.STEP.step-1/Mirror1.0306.0000009 食指连杆.STEP.step-2,if_proxiaml_joint,if_connecting_axis,if_connecting_link,continuous,-0.112402647327573,0.0377702832956948,0.00188300431715999,3.14159265358979,0,0,base_link,0.0827338081179695,-0.992755080232689,0.0871347672659211,,,,,,,,,,,,
mf_slider_link,-0.0138788258166069,0.000185296483385909,8.15762935570119E-08,0,0,0,0.000489110083936225,4.37596647277756E-09,4.42348503915687E-10,-1.2926109448242E-11,3.84521509844735E-08,4.55604315234133E-13,3.92757733380741E-08,0,0,0,0,0,0,package://ap001/meshes_l/mf_slider_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/mf_slider_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程.STEP.step-1/Mirror0004__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1,mf_slider_joint,mf_slider_axis,mf_slider_link,prismatic,-0.0769747871906121,0.0100740064460275,-0.00178852097687655,0,0,0,base_link,-0.999912505874507,0.0132276421755094,-0.000100390440032362,0,0,0,0.019,,,,,,,,
mf_slider_abpart_link,-0.0105795093240022,-0.00336042382311318,-0.000627095072482472,0,0,0,0.00042049165481406,1.77662910749814E-09,5.26338494294933E-11,-7.47066442916649E-10,5.75751542457247E-09,9.93733449153848E-12,6.20623391448981E-09,0,0,0,0,0,0,package://ap001/meshes_l/mf_slider_abpart_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/mf_slider_abpart_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程.STEP.step-1/Mirror_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1/Mirror_6-R-231011--726080001__20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程.STEP.step-1/Mirror_20001_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1/Mirror电机连杆转轴.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程.STEP.step-1/Mirror0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1/Mirror四指连接件A.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程.STEP.step-1/Mirror_STEP0001__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror四指齿轮箱电机组件_丝杆最大行程.STEP.step-1/Mirror0003_ASM__9090610001_ASM__0001_ASM_R-241127(2)_R-241127.STEP.step-1/Mirror花键轴.STEP.step-1,mf_slider_abpart_joint,mf_slider_abpart_axis,mf_slider_abpart_link,continuous,-0.0289511552326586,0.00388410585925558,0,0,0,0,mf_slider_link,0.013227649494206,0.999912508182063,-7.25941682477415E-05,,,,,,,,,,,,
mf_proximal_link,-0.0196716863079683,0.00734069274411668,0.00259271468376349,0,0,0,0.00237739508919952,1.38408632537809E-07,-2.97224168249164E-09,-1.62855704739766E-08,3.62233145247215E-07,-2.20041061963053E-10,3.53107769394753E-07,0,0,0,0,0,0,package://ap001/meshes_l/mf_proximal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/mf_proximal_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/Mirror1.0302.0000022 中指中段.STEP.step-1,mf_proximal_joint,mf_proximal_axis,mf_proximal_link,continuous,-0.115670989570955,0.0181879526099349,0.00680696679072099,3.14159265358979,0,0,base_link,0.0132276494941984,-0.999912508182064,7.25941682372531E-05,,,,,,,,,,,,
mf_distal_link,-0.0187149086153443,0.00651045090440091,0.00360320077014009,0,0,0,0.00368132860239077,8.47412338539825E-08,-6.0426958047298E-09,1.05739114005356E-07,5.70981535603222E-07,1.10309949874604E-09,5.69099973523185E-07,0,0,0,0,0,0,package://ap001/meshes_l/mf_distal_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ap001/meshes_l/mf_distal_link.STL,,Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/MirrorAY-中指指尖装配体-20250926.STEP.step-1/Mirror1.0302.0000135 中指底座-20250929.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/MirrorAY-中指指尖装配体-20250926.STEP.step-1/Mirror1.0401.0000223 中指后盖-0.6壁厚加过坡-20250930.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/MirrorAY-中指指尖装配体-20250926.STEP.step-1/Mirror1.0401.0000223 中指后盖-0.8均匀壁厚-20251009.STEP.step-1;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/Mirror1.0301.0000035 销轴.STEP.step-2;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/Mirror1.0306.0000006 C型卡簧.STEP.step-4;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/Mirror1.0301.0000034 销轴.STEP.step-2;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/Mirror1.0306.0000006 C型卡簧.STEP.step-3;Mirror六轴力控灵巧手手部组件-AY_丝杆最大行程.STEP.step-1/Mirror六轴力控灵巧手-中指组件-AY_丝杆最大行程.STEP.step-1/Mirror中指装配体（AY压力传感器）_带压力传感器.STEP.step-1/MirrorAY-中指指尖装配体-20250926.STEP.step-1/Mirror00_AY_MF_SILICON_ASM_1-20250818.STEP.step-1/Mirror0_AY_MF_SILICON_ASM_1-20250818.STEP.step-1/Mirror0_AY_MF_SILICON02_1-20250818.STEP.step-1,mf_distal_joint,if_distal_axis,mf_distal_link,continuous,-0.0409262118595436,0.000353475140181241,0.00270789268266695,0,0,0,mf_proximal_link,0.0827338081179672,-0.992755080232689,0.0871347672659217,,,,,,,,,,,,
